{'loss': 1.8554, 'learning_rate': 1e-05, 'epoch': 0.03}
{'loss': 2.0824, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.2682, 'learning_rate': 3e-05, 'epoch': 0.08}
{'loss': 2.3349, 'learning_rate': 4e-05, 'epoch': 0.1}
{'loss': 2.1299, 'learning_rate': 5e-05, 'epoch': 0.13}
{'loss': 1.4328, 'learning_rate': 6e-05, 'epoch': 0.15}
{'loss': 1.3412, 'learning_rate': 7e-05, 'epoch': 0.18}
{'loss': 1.01, 'learning_rate': 8e-05, 'epoch': 0.21}
{'loss': 0.7711, 'learning_rate': 9e-05, 'epoch': 0.23}
{'loss': 0.6994, 'learning_rate': 0.0001, 'epoch': 0.26}
{'loss': 1.0884, 'learning_rate': 9.906015037593985e-05, 'epoch': 0.28}
{'loss': 0.994, 'learning_rate': 9.81203007518797e-05, 'epoch': 0.31}
{'loss': 0.8491, 'learning_rate': 9.718045112781955e-05, 'epoch': 0.33}
{'loss': 0.71, 'learning_rate': 9.62406015037594e-05, 'epoch': 0.36}
{'loss': 0.6552, 'learning_rate': 9.530075187969926e-05, 'epoch': 0.39}
{'loss': 1.0777, 'learning_rate': 9.436090225563911e-05, 'epoch': 0.41}
{'loss': 0.9737, 'learning_rate': 9.342105263157896e-05, 'epoch': 0.44}
{'loss': 0.8357, 'learning_rate': 9.24812030075188e-05, 'epoch': 0.46}
{'loss': 0.701, 'learning_rate': 9.154135338345865e-05, 'epoch': 0.49}
{'loss': 0.6445, 'learning_rate': 9.06015037593985e-05, 'epoch': 0.51}
{'eval_loss': 0.953607439994812, 'eval_runtime': 78.0735, 'eval_samples_per_second': 25.617, 'eval_steps_per_second': 3.202, 'epoch': 0.51}
{'loss': 1.0609, 'learning_rate': 8.966165413533835e-05, 'epoch': 0.54}
{'loss': 0.9564, 'learning_rate': 8.87218045112782e-05, 'epoch': 0.57}
{'loss': 0.8435, 'learning_rate': 8.778195488721805e-05, 'epoch': 0.59}
{'loss': 0.6903, 'learning_rate': 8.68421052631579e-05, 'epoch': 0.62}
{'loss': 0.6319, 'learning_rate': 8.590225563909775e-05, 'epoch': 0.64}
{'loss': 1.057, 'learning_rate': 8.49624060150376e-05, 'epoch': 0.67}
{'loss': 0.9514, 'learning_rate': 8.402255639097744e-05, 'epoch': 0.7}
{'loss': 0.8261, 'learning_rate': 8.308270676691729e-05, 'epoch': 0.72}
{'loss': 0.6808, 'learning_rate': 8.214285714285714e-05, 'epoch': 0.75}
{'loss': 0.6279, 'learning_rate': 8.120300751879699e-05, 'epoch': 0.77}
{'loss': 1.0618, 'learning_rate': 8.026315789473685e-05, 'epoch': 0.8}
{'loss': 0.9563, 'learning_rate': 7.93233082706767e-05, 'epoch': 0.82}
{'loss': 0.8181, 'learning_rate': 7.838345864661655e-05, 'epoch': 0.85}
